Trafikkregistreringspunkt,Navn,Dato,Fra tidspunkt,Til tidspunkt,Felt,Trafikkmengde,"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,00:00,01:00,Totalt i retning Alnabru,218,158,60,9,10,4,37,34,3
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,00:00,01:00,Totalt i retning Sentrum,142,105,36,16,9,3,8,6,2
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,00:00,01:00,Totalt,360,263,96,25,19,7,45,40,5
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,01:00,02:00,Totalt i retning Alnabru,161,100,61,8,5,2,46,40,6
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,01:00,02:00,Totalt i retning Sentrum,162,126,36,5,13,3,15,14,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,01:00,02:00,Totalt,323,226,97,13,18,5,61,54,7
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,02:00,03:00,Totalt i retning Alnabru,117,81,35,4,9,2,20,18,2
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,02:00,03:00,Totalt i retning Sentrum,130,96,34,5,4,4,21,18,3
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,02:00,03:00,Totalt,247,177,69,9,13,6,41,36,5
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,03:00,04:00,Totalt i retning Alnabru,163,121,42,5,8,3,26,21,5
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,03:00,04:00,Totalt i retning Sentrum,97,56,41,8,9,5,19,18,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,03:00,04:00,Totalt,260,177,83,13,17,8,45,39,6
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,04:00,05:00,Totalt i retning Alnabru,161,100,61,11,13,4,33,30,3
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,04:00,05:00,Totalt i retning Sentrum,125,71,54,7,17,7,23,23,0
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,04:00,05:00,Totalt,286,171,115,18,30,11,56,53,3
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,05:00,06:00,Totalt i retning Alnabru,424,334,90,25,17,4,44,42,2
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,05:00,06:00,Totalt i retning Sentrum,513,354,159,30,48,19,62,61,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,05:00,06:00,Totalt,937,688,249,55,65,23,106,103,3
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,06:00,07:00,Totalt i retning Alnabru,1304,1108,195,47,45,28,75,74,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,06:00,07:00,Totalt i retning Sentrum,1812,1533,277,83,77,35,82,81,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,06:00,07:00,Totalt,3116,2641,472,130,122,63,157,155,2
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,07:00,08:00,Totalt i retning Alnabru,1871,1629,241,71,60,42,68,67,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,07:00,08:00,Totalt i retning Sentrum,2384,2037,347,119,115,45,68,68,0
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,07:00,08:00,Totalt,4255,3666,588,190,175,87,136,135,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,08:00,09:00,Totalt i retning Alnabru,1766,1490,275,75,80,44,76,75,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,08:00,09:00,Totalt i retning Sentrum,2257,1847,408,156,113,33,106,106,0
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,08:00,09:00,Totalt,4023,3337,683,231,193,77,182,181,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,09:00,10:00,Totalt i retning Alnabru,1671,1247,424,104,118,38,164,162,2
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,09:00,10:00,Totalt i retning Sentrum,1611,1234,377,140,105,40,92,92,0
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,09:00,10:00,Totalt,3282,2481,801,244,223,78,256,254,2
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,10:00,11:00,Totalt i retning Alnabru,1700,1309,391,116,110,41,124,123,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,10:00,11:00,Totalt i retning Sentrum,1512,1117,394,124,115,42,113,111,2
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,10:00,11:00,Totalt,3212,2426,785,240,225,83,237,234,3
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,11:00,12:00,Totalt i retning Alnabru,1748,1361,387,119,111,31,126,124,2
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,11:00,12:00,Totalt i retning Sentrum,1489,1144,345,104,118,30,93,92,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,11:00,12:00,Totalt,3237,2505,732,223,229,61,219,216,3
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,12:00,13:00,Totalt i retning Alnabru,1751,1371,379,110,116,30,123,121,2
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,12:00,13:00,Totalt i retning Sentrum,1542,1173,367,131,95,45,96,95,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,12:00,13:00,Totalt,3293,2544,746,241,211,75,219,216,3
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,13:00,14:00,Totalt i retning Alnabru,1969,1539,429,139,136,35,119,118,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,13:00,14:00,Totalt i retning Sentrum,1552,1231,320,90,96,37,97,96,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,13:00,14:00,Totalt,3521,2770,749,229,232,72,216,214,2
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,14:00,15:00,Totalt i retning Alnabru,2292,1920,371,126,131,25,89,87,2
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,14:00,15:00,Totalt i retning Sentrum,1831,1474,357,103,111,44,99,95,4
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,14:00,15:00,Totalt,4123,3394,728,229,242,69,188,182,6
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,15:00,16:00,Totalt i retning Alnabru,2477,2158,319,121,93,26,79,76,3
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,15:00,16:00,Totalt i retning Sentrum,2099,1797,302,102,65,54,81,80,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,15:00,16:00,Totalt,4576,3955,621,223,158,80,160,156,4
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,16:00,17:00,Totalt i retning Alnabru,2001,1743,258,82,57,24,95,95,0
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,16:00,17:00,Totalt i retning Sentrum,1865,1635,230,79,49,42,60,59,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,16:00,17:00,Totalt,3866,3378,488,161,106,66,155,154,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,17:00,18:00,Totalt i retning Alnabru,1618,1408,210,71,66,12,61,61,0
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,17:00,18:00,Totalt i retning Sentrum,1392,1215,177,39,33,37,68,65,3
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,17:00,18:00,Totalt,3010,2623,387,110,99,49,129,126,3
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,18:00,19:00,Totalt i retning Alnabru,1296,1088,208,58,48,20,82,82,0
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,18:00,19:00,Totalt i retning Sentrum,1123,976,147,38,37,12,60,55,5
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,18:00,19:00,Totalt,2419,2064,355,96,85,32,142,137,5
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,19:00,20:00,Totalt i retning Alnabru,1047,918,127,35,26,16,50,49,1
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,19:00,20:00,Totalt i retning Sentrum,882,774,108,25,27,9,47,43,4
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,19:00,20:00,Totalt,1929,1692,235,60,53,25,97,92,5
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,20:00,21:00,Totalt i retning Alnabru,804,687,117,29,31,11,46,43,3
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,20:00,21:00,Totalt i retning Sentrum,809,732,77,13,14,10,40,36,4
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,20:00,21:00,Totalt,1613,1419,194,42,45,21,86,79,7
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,21:00,22:00,Totalt i retning Alnabru,724,633,90,26,20,2,42,37,5
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,21:00,22:00,Totalt i retning Sentrum,674,583,91,26,13,8,44,37,7
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,21:00,22:00,Totalt,1398,1216,181,52,33,10,86,74,12
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,22:00,23:00,Totalt i retning Alnabru,551,489,61,13,13,10,25,21,4
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,22:00,23:00,Totalt i retning Sentrum,462,399,63,11,14,7,31,29,2
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,22:00,23:00,Totalt,1013,888,124,24,27,17,56,50,6
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,23:00,00:00,Totalt i retning Alnabru,279,243,36,7,13,2,14,12,2
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,23:00,00:00,Totalt i retning Sentrum,251,195,56,11,19,3,23,23,0
33808V625649,"Helsfyr 1,2,3,4",2023-10-31,23:00,00:00,Totalt,530,438,92,18,32,5,37,35,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,00:00,01:00,Totalt i retning Alnabru,205,142,62,7,12,5,38,32,6
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,00:00,01:00,Totalt i retning Sentrum,169,125,44,12,13,5,14,13,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,00:00,01:00,Totalt,374,267,106,19,25,10,52,45,7
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,01:00,02:00,Totalt i retning Alnabru,163,101,62,10,5,2,45,42,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,01:00,02:00,Totalt i retning Sentrum,106,84,22,4,1,5,12,12,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,01:00,02:00,Totalt,269,185,84,14,6,7,57,54,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,02:00,03:00,Totalt i retning Alnabru,88,58,30,7,2,2,19,15,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,02:00,03:00,Totalt i retning Sentrum,45,25,20,3,5,3,9,6,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,02:00,03:00,Totalt,133,83,50,10,7,5,28,21,7
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,03:00,04:00,Totalt i retning Alnabru,151,101,50,11,7,4,28,24,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,03:00,04:00,Totalt i retning Sentrum,92,47,45,8,9,5,23,22,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,03:00,04:00,Totalt,243,148,95,19,16,9,51,46,5
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,04:00,05:00,Totalt i retning Alnabru,163,115,48,8,10,5,25,23,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,04:00,05:00,Totalt i retning Sentrum,133,79,54,6,15,6,27,27,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,04:00,05:00,Totalt,296,194,102,14,25,11,52,50,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,05:00,06:00,Totalt i retning Alnabru,401,323,78,20,15,7,36,34,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,05:00,06:00,Totalt i retning Sentrum,492,344,148,28,42,13,65,64,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,05:00,06:00,Totalt,893,667,226,48,57,20,101,98,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,06:00,07:00,Totalt i retning Alnabru,1363,1166,197,55,50,23,69,66,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,06:00,07:00,Totalt i retning Sentrum,1992,1679,313,96,89,40,88,88,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,06:00,07:00,Totalt,3355,2845,510,151,139,63,157,154,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,07:00,08:00,Totalt i retning Alnabru,1829,1604,225,71,70,32,52,51,1
